Year,Lyrics
1992,"You can tell the world you never was my girl You can burn my clothes up when I′m gone Or you can tell your friends just what a fool I've beenAnd laugh and joke about me on the phone  You can tell my arms go back to the farm You can tell my feet to hit the floor Or you can tell my lips to tell my fingertips They won′t be reaching out for you no more  But don't tell my heart, my achy breaky heart I just don't think he′d understand And if you tell my heart, my achy breaky heart He might blow up and kill this man Ooh  You can tell your ma I moved to Arkansas Or you can tell your dog to bite my leg Or tell your brother Cliff who′s fist can tell my lips He never really liked me anyway  Or tell your Aunt Louise, tell anything you please Myself already knows I'm not okay Or you can tell my eyes to watch out for my mind It might be walking out on me one-day  But don′t tell my heart, my achy breaky heart I just don't think he′d understand And if you tell my heart, my achy breaky heart He might blow up and kill this man Ooh  But don't tell my heart, my achy breaky heart I just don′t think he'd understand And if you tell my heart, my achy breaky heart He might blow up and kill this man Don't tell my heart, my achy breaky heart I just don′t think he′d understand And if you tell my heart, my achy breaky heart He might blow up and kill this man Ooh "
1992,"You rang? They do what they wanna do, say what they wanna say Live how they wanna live, play how they wanna playDance how they wanna dance, kick and they slap a friend The Addams family Now I was cold coolin′, you know (maxin' and relaxin′) Just kickin' it around the house (Motown kicking' it) When a knock, a knock, a knock and a voice yo can Hammer come out? (what′s up?) Now I don′t mind (mind) being a friend And showin' a little bit of flava (flava) But Wednesday, Pugsley, Gomez, Fester (oh man) Man, them some strange neighbors They do what they wanna do, say what they wanna say Live how they wanna live, play how they wanna play Dance how they wanna dance, kick and they slap a friend The Addams family I remember the day I needed to borrow A little of pepper (for my chicken) The next thing you know, comin′ at me Was a hand with the fingers high steppin' (I′m witcha) Now I tried to play it along (you know) And act like I was havin' a ball (ha ha) But what do I see (yo) a perm with feet (Cousin Itt) Standin′ about three feet tall (I'm outta here) They do what they wanna do, say what they wanna say Live how they wanna live, play how they wanna play Dance how they wanna dance, kick and they slap a friend The Addams family Speakin' and thinkin′ about the Addams You know the Hammer is with it (I′m with it) Act a fool, no bones, swooop, goofy and randy You know we kick it (the posse) Now is the time to get in your mind It's ok to be yourself (be yourself) Take foolish pride and put it aside Like the Addams, yo! They def (that′s a family!) They do what they wanna do, say what they wanna say Live how they wanna live, play how they wanna play Dance how they wanna dance, kick and they slap a friend The Addams family Too legit (Addams) too legit (Addams) too legit (who's too legit?) (The Addams family) (You know what I′m saying, the addams) (Addams) too legit (oh yeah) (Addams) too legit (talkin' ′bout the addams now) (Addams) too legit (I'm saying it's the addams now) (The addams family) (Yo! take me to the bridge) (Thank you, Fester) Oh yeah, yeah Oh, this is the Addams groove right here, ha ha (Addams) yeah yeah (Addams) Just like that (Addams) oh yeah (The Addams family) you know you gotta fully understand They do what they wanna do, say what they wanna say Live how they wanna live, play how they wanna play Dance how they wanna dance, kick and the slap a friend The Addams family Addams) too legit (Addams) too legit (Addams) too legit I′m tellin′ you I saw the hand (The Addams family) thing, man, I saw They do what they wanna do, say what they wanna say Live how they wanna live, play how they wanna play Dance how they wanna dance, kick and they slap a friend The Addams family Yeah, thank you Fester, I needed to go back to the bridge again Thank you, thank you, now check this out... "
1992,"Yo mic check 1-2, 1-2 We in the house Yeah come on1992 TLC kickin′ off in your Mutha... So ya best be duckin' fast Yo T-Boz is ya being a boss Chilli what′s up wit' dat sauce Dis is it Yo ""T"" step on that (shhhh) I ain't 2 proud, I ain′t 2 proud 2 beg  Thinkin′ short of what you got Better get it while it's hot Ain′t no better love than your own Unmistaking urge 2 be Sexin' with society How can you be happy alone  When I need 2 feel love Why wait 4 so long Cause I ain′t 2 proud 2 beg 4 something that I call my own And I want 2 be touched And feeling so much see cause Everybody needs some good lovin'  Yo if I need it in the morning or the middle of the night I ain′t 2 proud 2 beg (no) If the lovin' is strong and he got it goin' on and I ain′t 2 proud 2 beg (no) 2 inches or a yard rock hard or if it′s saggin' I ain′t 2 proud 2 beg (no) So it ain't like I′m braggin' just join the paddywagon cause I ain′t 2 proud 2 beg, I ain't 2 proud 2 beg Screamin' loud and holdin′ sheets Scared that you′ll be called a freak Gotta let it go while you can Ain't 2 proud 2 beg you see Cause my man belongs 2 me And I know that he understands  When I need 2 feel love Why wait 4 so long Cause I ain′t 2 proud 2 beg 4 something that I call my own And I want 2 be touched And feeling so much see cause Everybody needs some good lovin'  Yo if I need it in the morning or the middle of the night I ain′t 2 proud 2 beg (no) If the lovin' is strong and he got it goin′ on and I ain't 2 proud 2 beg (no) 2 inches or a yard rock hard or if it's saggin′ I ain′t 2 proud 2 beg (no) So it ain't like I′m braggin' just join the paddywagon cause I ain′t 2 proud 2 beg, I ain't 2 proud 2 beg Screamin′ loud and holdin' sheets Scared that you'll be called a freak Gotta let it go while you can Ain′t 2 proud 2 beg you see Cause my man belongs 2 me And I know that he understands  Yo Left Eye kick that rap Realize the realism of reality treats Us both the same Cause satisfaction is the name of this game So I choose to explain it′s evident Left Eye don't mean the rest of my body is irrelevant In other words lets refresh your head About pullin′ down curtains and breakin' da waterbed Yeah I like it when you (kiss) Both sets of lips Oooh on the TLC tip I ain′t 2 proud 2 beg (I ain't 2 proud 2 beg) What I call my own Just you and me (uh) Heyyyyyyyy  When I need 2 feel love Why wait 4 so long Cause I ain′t 2 proud 2 beg 4 something that I call my own And I want 2 be touched And feeling so much see cause Everybody needs some good lovin'  Yo if I need it in the morning or the middle of the night I ain't 2 proud 2 beg (no) If the lovin′ is strong and he got it goin′ on and I ain't 2 proud 2 beg (no) 2 inches or a yard rock hard or if it′s saggin' I ain′t 2 proud 2 beg (no) So it ain't like I′m braggin' just join the paddywagon cause I ain't 2 proud 2 beg, I ain′t 2 proud 2 beg Screamin′ loud and holdin' sheets Scared that you′ll be called a freak Gotta let it go while you can Ain't 2 proud 2 beg you see Cause my man belongs 2 me And I know that he understands  I ain′t 2 proud 2 beg TLC isn't 2 proud 2 beg I ain′t 2 proud 2 beg (no) "
1992,"I′m so glad you're my girl, I′ll do anything for you Call you every night and give you flowers too I thank the lord for you and think about you all the timeAnd ask him every day that you'll forever be mine  (I wanna hold your hand) To show you I'll be there (I like to do the things) That let you know I care (I sing this lullaby) ′Cause girl, you fill me full (I look into your eyes) You′re so beautiful  Oh girl, I think I love you I'm always thinking of you I want you to know I do it all for love I love it when we′re together Girl, I need you forever And I want you to know I do it all for love  I will never leave you, sugar, this I guarantee I look into the future, I see you and me Knight in shining armor, I will be your fairytale I wanna take care of you, girl, I'll serve you well  (I will be there for you) To catch you when you fall (I′ll hold you in my arms) That's where you belong (I sing this lullaby) ′Cause girl, you fill me full (I look into your eyes) You're so beautiful, beautiful, yeah  Oh girl, I think I love you I'm always thinking of you I want you to know I do it all for love I love it when we′re together Girl, I need you forever And I want you to know I do it all for love  Now come here, sweetheart I want you to know something, alright? Ya see everyday in my life without you Would be like a hundred years The distance between us, the ocean of tears See all the things I do for you are for love, dig it  (All for loving) All for love (All for you) You, you, you (All for loving you, you) You  Oh girl, I think I love you I′m always thinking of you I want you to know I do it all for love I love it when we're together Girl, I need you forever I want you to know I do it all for love  Oh girl, I think I love you I′m always thinking of you I want you to know I do it all for love I love it when we're together Girl, I need you forever And I want you to know I do it all for love  Oh girl, I think I love you I′m always thinking of you All for love I love it when we're together Girl, I need you forever "
1992,"Nothing′s so loud As hearing when we lie The truth is not kindAnd you've said, neither am I  And the air outside′s so soft Is saying everything Everything  All I want is to feel this way To be this close, to feel the same All I want is to feel this way The evening speaks, I feel it say  Nothing's so cold As closing the heart when all we need Is to free the soul But we wouldn't be that brave. I know  And the air outside′s so soft Confessing everything Everything  All I want is to feel this way To be this close, to feel the same All I want is to feel this way The evening speaks, I feel it say  And it won′t matter now Whatever happens will be Though the air speaks of all we'll never be It won′t trouble me  All I want is to feel this way To be this close, to feel the same All I want is to feel this way The evening speaks, I feel it say  (All I want is to feel this way) it feels so close (To be this close, to feel the same) let it take me in (All I want is to feel this way) let it hold me, so (The evening speaks, I feel it say) I can feel it say "
1992,"And you want my love Well that′s alright Well it will be there for you morning, noon and nightBut you gotta be good And do it right Ain't got no time for part-time lovin′ in my life  Well you wanna be loved (uh) Hey that's okay Cause it falls in line right with my sexuality But you gotta be down A nickel gotta be true Cause otherwise this ""B"" ain't got no time for you  Oh baby, baby, baby I got so much love in me Ooh (baby, baby,) baby, baby, baby Cause if your′re gonna get me off You got to love me deep  Well you want my heart (uh) And all my time Well it won′t be there if you can't deal with my mind Cause a girl like me (uh) Won′t stand for less I require plenty conversation with my sex  Long as you know that I could have any man I want to Baby that's actual and factual But still I choose you to be with me And work on me so you better not flake it up Ohhhhhh  Oh baby, baby, baby I got so much love in me Gotta be true, gotta be tough (baby, baby)  (Oh my baby) ′Cause if your're gonna get me off You got to love me deep Baby, baby, baby Ain′t got no time for the part-time lovin' I got so much love in me  I gotta be loved And that's okay Baby, baby, baby Cause if you′re gonna get me off You got to love me deep (Get me off)  Baby long as you know that I could have any man I want to Baby that′s actual and factual But still I choose you to be with me And work on me so you better not flake it up  Well you want my heart And all my time Well it won't be there if you can′t deal with my mind Cause a girl like me I won't stand for less I require plenty conversation with my sex  Oh baby, baby, baby I got so much love in me Ooh (baby, baby,) baby, baby, baby Cause if your′re gonna get me off You got to love me deep  I can have any man that I want to Time and place that I choose to But I think you know that I'd rather be here with you Yeah  That′s actual and factual You're the one I seem to run back to Just to get me off You got to love me, got to love me, got to love me  Oh baby, baby, baby I got so much love in me Ooh (baby, baby,) baby, baby, baby Cause if your're gonna get me off You got to love me deep  Baby, baby, baby I got so much love in me (so much love in me) Ooh (baby, baby,) baby, baby, baby Cause if your′re gonna get me off You got to love me deep  I can have any man that I want to Time and place that I choose to But I think you know that I′d rather be here with you Yeah "
1992,"Oh, my, God Becky, look at her butt It is so big, she looks like One of those rap guys′ girlfriendsBut, ya know, who understands those rap guys? They only talk to her, because, She looks like a total prostitute, 'kay? I mean, her butt, is just so big I can′t believe it's just so round, it's like out there I mean gross, look She′s just so, black I like big butts and I can not lie You other brothers can′t deny That when a girl walks in with an itty bitty waist And a round thing in your face You get sprung, want to pull up tough 'Cause you notice that butt was stuffed Deep in the jeans she′s wearing I'm hooked and I can′t stop staring Oh baby, I want to get wit'cha And take your picture My homeboys tried to warn me But with that butt you got makes (me so horny) Ooh, Rump-o′-smooth-skin You say you want to get in my Benz? Well, use me, use me 'Cause you ain't that average groupie I′ve seen her dancin′ To hell with romancin' She′s sweat, wet, Got it goin' like a turbo ′Vette I'm tired of magazines Sayin′ flat butts are the thing Take the average black man and ask him that She gotta pack much back So, fellas (Yeah) Fellas (Yeah) Has your girlfriend got the butt? (Hell yeah) Tell 'em to shake it (Shake it) Shake it (Shake it) Shake that healthy butt Baby got back (L.A. fits with the Oakland booty) Baby got back (L.A. fits with the Oakland booty) I like 'em round, and big And when I′m throwin′ a gig I just can't help myself, I′m actin' like an animal Now here′s my scandal I want to get you home And ugh, double-up, ugh, ugh I ain't talkin′ bout Playboy 'Cause silicone parts are made for toys I want 'em real thick and juicy So find that juicy double Mix-a-Lot′s in trouble Beggin′ for a piece of that bubble So I'm lookin′ at rock videos Knock-kneed bimbos walkin' like hoes You can have them bimbos I′ll keep my women like Flo Jo A word to the thick soul sistas, I want to get with ya I won't cuss or hit ya But I gotta be straight when I say I want to fuck Til the break of dawn Baby got it goin′ on A lot of simps won't like this song 'Cause them punks like to hit it and quit it And I′d rather stay and play ′Cause I'm long, and I′m strong And I'm down to get the friction on So, ladies (yeah) Ladies (yeah) If you want to role in my Mercedes (yeah) Then turn around, stick it out Even white boys got to shout Baby got back Baby got back Yeah, baby, when it comes to females Cosmo ain′t got nothin' To do with my selection Thirty six-twenty four- thirty six Ha ha, only if she′s 5'3 So your girlfriend rolls a Honda, playin' workout tapes by Fonda But Fonda ain′t got a motor in the back of her Honda My anaconda don′t want none Unless you've got buns, hon You can do side bends or sit-ups But please don′t lose that butt Some brothers want to play that hard role And tell you that the butt ain't gol′ So they toss it and leave it And I pull up quick to retrieve it So Cosmo says you're fat Well I ain′t down with that 'Cause your waist is small and your curves are kickin' And I′m thinkin′ bout stickin' To the beanpole dames in the magazines You ain′t it, Miss Thing Give me a sista, I can't resist her Red beans and rice didn′t miss her Some knucklehead tried to dis 'Cause his girls are on my list He had game but he chose to hit ′em And I pull up quick to get wit 'em So ladies, if the butt is round, And you want a triple X throw down Dial 1-900-MIXALOT And kick them nasty thoughts Baby got back Baby got back... "
1992,"V-Town, brother, check it out, I′m 'bout to throw down Dick in hand, the shit that had you toked down A little city, chillin′ in the North BayNeedless to say, my boys don't play, fool  Yorker sidin', you know how the songs goes In the back, sippin′ purple chongos Don′t look for trouble, but it always seems to find us Forty-grippin', panties, sippin′, and these finks are right behind us  Quick left, one blow, K.O. Hit the road to the next episode In the saga of a few fellas Oh, what the hell, I guess I better tell ya  It's Friday night, I got a brand new kit on A fifth of Hen, for me to get bent on Hit the country club to pick up ML Eighty West, back to the hotel  At the Telly, Bones is doing pipe work Johnny Z had his hand up a miniskirt The Latina on the corner started to flirt And I knew that when she saw me, babydoll was gonna jaw me  Set for the night, so I took her to my ride Grab my Mickey and my buddha and I met her outside Who-ride, brothers strikin′ through to be seen A Lexus 400 to the triple gold Z's  Acid in my bottle, so I gotta get some more Put the pedal to the metal back to the liquor store ′Cause you know what I mean when I'm feelin' kinda funky A sick honkey, straight goin′ donkey  Money in my sock, jimmy in the glove Layin′ in the Lexus, I'm about to make good love And burn rubber up the block Back to the Telly, I gotta get some ""nuca"" (Nuca, nuca, nuca...)  Aw naw, could it be? I just got a page an′ a broad wanna do me Hooked it up, told her meet me at the hotel She had a friend with her, so I called TL Smooth me up, Sally wanted new dick And Monty licked, so try an' make it real quick Man, where′s this motherfucker? (Shit)  Aw yeah, I jumped in the F-train But wait a minute, we gotta hit the store, man I got to get some gum and some Tic-Tac's Two tall cans and a packet of Blackjacks  We got the goods, now we′re headed for the hoe down There goes the Telly, so fella, won't you slow down? Park the ride in the front like a sick one Just in case we gotta bust a quick one  Locked and loaded, let's go look for, like, one-eighteen But lay low ′cause I really don′t wanna be seen ""Is this the room?"" Aw yeah, that's the right one I got the black broad and you got the white one  So hit the light, man, I just might, man Try an′ throw this thing all night an' Get her so sprung, that she′ll drop some L So I can cut turf and hit another hotel "
1992,Tale as old as time True as it can be Barely even friendsThan somebody bends Unexpectedly  Just a little change Small to say the least Both a little scared Neither one prepared Beauty and the Beast  Ever just the same Ever a surprise Ever as before And ever just as sure As the sun will rise  Ever just the same Ever a surprise Ever as before Ever just as sure As the sun will rise  Tale as old as time Tune as old as song Bittersweet and strange Finding you can change Learning you were wrong  Certain as the sun Rising in the east Tale as old as time Song as old as rhyme Beauty and the Beast  Tale as old as time Song as old as rhyme Beauty and the Beast  Beauty and the Beast 
1992,"Hey (what?) Turn it off (dad, this is the best part) Turn it off (no)It′s too late for this, turn it off (Dad, this is the best part, come on) No, turn it off now (No, this is, I wanna listen to it okay?) 'Cause it′s too loud and disturbs the neighbors, turn it off now  Yeah right, too late? Sure, eat this  I took my baby on a Saturday bang Boy, is that girl with you? We're one and the same Now I believe in miracles And a miracle has happened tonight  But if you're thinking about my baby It don′t matter if you′re black or white  They print my message in the Saturday Sun I had to tell them, I ain't second to none And I told ′em 'bout equality And it′s true, either you're wrong or you′re right  But, if you're thinkin' about my baby It don′t matter if you′re black or white  I'm tired of this devil I′m tired of this stuff I'm tired of this business Oh, when the going gets rough I ain′t scared of your brother I ain't scared of no sheets I ain′t scare of nobody Go, when you're gonna get mean  Protection for gangs, clubs and nations Causing grief in human relations It's a turf war on a global scale I′d rather hear both sides of the tale See, it′s not about races Just places, faces Where your blood comes from is where your space is I've seen the bright get duller I′m not gonna spend my life being a color  Do you agree with me When I saw you kicking dirt in my eye?  But, if you're thinkin′ about my baby It don't matter if you′re black or white I said, if you're thinkin' of being my baby It don′t matter if you′re black or white I said, if you're thinkin′ of being my brother It don't matter if you′re black or white  Alright, alright (ooh, ooh) Alright (yeah, yeah, yeah now) Alright, alright (ooh, ooh) Shamone (yeah, yeah, yeah now) Alright  It's black, it′s white It's tough for you to be black (yeah, yeah, yeah) It's black, it′s white (woo!) It′s black, it's white It′s tough for you to be black (yeah, yeah, yeah) It's black, it′s white (woo!) "
