Replacement,Key Word
Kyle,Kyle Trewartha
Max,Ava Max
Max,Max Ernst
Max,Max Martin
Max,Willie Maxwell
Max,Willie Maxwell II
Mendes,Shawn Mendes
Pink,Pinkfong
Train,Meghan Trainor
Baby,"Kenneth ""Babyface"" Edmonds"
Beck,Walter Becker
Brown,Brownstone
Brown,Rodney Browning Cravens
Case,Brandon Casey
Case,Brian Casey
Case,Casey Beathard
Case,Harry Wayne Casey
Cher,Cherish
Cher,Cheryl James
Cher,Eagle-Eye Cherry
Dev,Devin Tailes
Do,Andy Dodd
Do,Ashanti Douglas
Do,Chris Dooley Jr.
Do,Dolly Parton
Do,Don DuBose
Do,Don Henley
Do,Don Rollins
Do,Don Von Tress
Do,Goo Goo Dolls
Do,"Jamal ""Polow da Don"" Jones"
Do,Nate Dogg
Do,No Doubt
Do,Polow da Don
Do,Pussycat Dolls
Do,Ralph MacDonald
Do,Richie McDonald
Do,Snoop Dogg
Do,Snoop Doggy Dogg
Do,Spin Doctors
Do,Teddy Douglas
Do,The Pussycat Dolls
Drake,Drake Cooper
Evan,Evanescence
Evan,Faith Evans
Evan,Lauren Evans
Evan,Tom Evans
Eve,Everclear
Eve,Everlast
Eve,Everything but the Girl
Eve,Jörg Evers
Joe,Billy Joel
Joe,Joel Hailey
Joe,Joey Lawrence
Joe,Joey McIntyre
Joe,Joey McIntyreJoseph Carrier
Lea,Edmond Leary
Len,Annie Lennox
Nas,Freak Nasty
Nas,Johnny Nash
Nas,T. Nash
Nas,Terius Nash
Nelly,Nelly Furtado
Prince,DJ Jazzy Jeff & The Fresh Prince
Queen,Queen Latifah
Rome,"Anthony ""Romeo"" Santos"
Rome,Lil' Romeo
Silk,"Phillip ""Silky"" White"
