Year,Place,Title,Artist,Featuring,Title_url,Released,Genre 1,Genre 2,Genre 3,Length,Label,Total Labels,Writer 1,Writer 2,Youtube
1992,1,End of the Road,Boyz II Men,,/wiki/End_of_the_Road_(Boyz_II_Men_song),1992,R&b,,,5:48,LaFace,3,"Kenneth ""Babyface"" Edmonds","Antonio ""L.A."" Reid",https://www.youtube.com/watch?v=zDKO6XYXioc
1992,2,Baby Got Back,Sir Mix-a-Lot,,/wiki/Baby_Got_Back,1992,Hip hop,Dirty rap,Miami bass,4:21,Def American,2,Sir Mix-a-Lot,,https://www.youtube.com/watch?v=X53ZSxkQ3Ho
1992,3,Jump,Kris Kross,,/wiki/Jump_(Kris_Kross_song),1992,Hip hop,,,5:09,Ruffhouse,2,Jermaine Dupri,"Joe ""The Butcher"" Nicolo",https://www.youtube.com/watch?v=010KyIQjkTk
1992,4,Save the Best for Last,Vanessa Williams,,/wiki/Save_the_Best_for_Last,1992,Pop,Soul,,3:40,Wing,2,Phil Galdston,Wendy Waldman,https://www.youtube.com/watch?v=5EdmHSTwmWY
1992,5,Baby-Baby-Baby,TLC,,/wiki/Baby-Baby-Baby,1992,,,,5:15,LaFace,2,Kenneth Edmonds,Antonio Reid,
1992,6,Tears in Heaven,Eric Clapton,,/wiki/Tears_in_Heaven,1992,Soft rock,,,4:36,Warner Bros.,1,Eric Clapton,Will Jennings,https://www.youtube.com/watch?v=JxPj3GAYYZ0
1992,7,My Lovin' (You're Never Gonna Get It),En Vogue,,/wiki/My_Lovin%27_(You%27re_Never_Gonna_Get_It),1992,Dance-pop,New jack swing,R&b,4:42,EastWest,1,Denzil Foster,Thomas McElroy,https://www.youtube.com/watch?v=JIuYQ_4TcXg
1992,8,Under the Bridge,Red Hot Chili Peppers,,/wiki/Under_the_Bridge,1992,Alternative rock,,,4:24,Warner Bros.,1,Anthony Kiedis,Flea,https://www.youtube.com/watch?v=lwlogyj7nFE
1992,9,All 4 Love,Color Me Badd,,/wiki/All_4_Love,1991,New jack swing,,,3:30,Giant,2,Bryan Abrams,Mark Calderon,
1992,10,Just Another Day,Jon Secada,,/wiki/Just_Another_Day_(Jon_Secada_song),1992,Dance-pop,Latin pop,R&b,5:27,SBK,1,Jon Secada,Miguel A. Morejon,
